IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
38.47.127.45,443,true,NRT,Asia Pacific,Tokyo,38,6.50
8.219.202.219,443,true,SIN,Asia Pacific,Singapore,64,6.40
168.138.184.172,443,true,SIN,Asia Pacific,Singapore,204,6.17
8.219.174.29,443,true,SIN,Asia Pacific,Singapore,64,6.11
8.219.249.121,443,true,SIN,Asia Pacific,Singapore,65,5.94
141.98.196.223,443,true,NRT,Asia Pacific,Tokyo,38,5.92
8.219.236.150,443,true,SIN,Asia Pacific,Singapore,69,5.91
47.236.90.214,443,true,SIN,Asia Pacific,Singapore,67,5.89
8.219.242.214,443,true,SIN,Asia Pacific,Singapore,72,5.86
140.245.98.186,443,true,SIN,Asia Pacific,Singapore,198,5.85
152.70.92.151,443,true,ICN,Asia Pacific,Seoul,65,5.76
8.222.165.89,443,true,SIN,Asia Pacific,Singapore,69,5.66
47.236.29.145,443,true,SIN,Asia Pacific,Singapore,67,5.64
23.106.140.97,443,true,KIX,Asia Pacific,Osaka,40,5.62
8.219.194.32,443,true,SIN,Asia Pacific,Singapore,78,5.54
8.222.150.244,443,true,SIN,Asia Pacific,Singapore,69,5.54
47.236.17.245,443,true,SIN,Asia Pacific,Singapore,67,5.53
8.218.208.194,443,true,HKG,Asia Pacific,Hong Kong,29,5.52
47.236.15.165,443,true,SIN,Asia Pacific,Singapore,67,5.49
47.236.111.247,443,true,SIN,Asia Pacific,Singapore,68,5.48
8.219.160.12,443,true,SIN,Asia Pacific,Singapore,64,5.44
8.219.250.76,443,true,SIN,Asia Pacific,Singapore,67,5.35
8.219.223.189,443,true,SIN,Asia Pacific,Singapore,71,5.34
8.222.151.235,443,true,SIN,Asia Pacific,Singapore,60,5.30
8.219.162.70,443,true,SIN,Asia Pacific,Singapore,61,5.30
8.219.166.189,443,true,SIN,Asia Pacific,Singapore,67,5.29
54.255.206.197,443,true,SIN,Asia Pacific,Singapore,69,5.28
47.236.84.24,443,true,SIN,Asia Pacific,Singapore,63,5.25
47.236.136.199,443,true,SIN,Asia Pacific,Singapore,70,5.23
47.236.17.193,443,true,SIN,Asia Pacific,Singapore,67,5.23
146.56.158.82,443,true,ICN,Asia Pacific,Seoul,69,5.22
146.56.137.65,443,true,ICN,Asia Pacific,Seoul,69,5.22
8.219.220.46,443,true,SIN,Asia Pacific,Singapore,65,5.22
8.219.155.145,443,true,SIN,Asia Pacific,Singapore,60,5.18
8.222.166.135,443,true,SIN,Asia Pacific,Singapore,72,5.16
47.236.102.68,443,true,SIN,Asia Pacific,Singapore,64,5.13
47.245.111.221,443,true,SIN,Asia Pacific,Singapore,72,5.13
8.219.248.32,443,true,SIN,Asia Pacific,Singapore,65,5.11
8.219.190.228,443,true,SIN,Asia Pacific,Singapore,72,5.06
8.219.199.130,443,true,SIN,Asia Pacific,Singapore,70,5.06
8.222.162.103,443,true,SIN,Asia Pacific,Singapore,73,5.04
8.219.207.131,443,true,SIN,Asia Pacific,Singapore,68,5.01
47.236.9.74,443,true,NRT,Asia Pacific,Tokyo,71,5.01
8.219.164.148,443,true,SIN,Asia Pacific,Singapore,69,4.98
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,49,4.96
47.236.23.240,443,true,SIN,Asia Pacific,Singapore,69,4.93
8.219.133.92,443,true,SIN,Asia Pacific,Singapore,60,4.92
192.243.127.102,443,true,KIX,Asia Pacific,Osaka,43,4.90
8.219.247.250,443,true,SIN,Asia Pacific,Singapore,66,4.88
45.77.130.245,443,true,NRT,Asia Pacific,Tokyo,91,4.88
193.122.112.178,443,true,ICN,Asia Pacific,Seoul,64,4.88
138.2.84.118,443,true,SIN,Asia Pacific,Singapore,200,4.88
217.142.138.20,443,true,ICN,Asia Pacific,Seoul,67,4.86
47.245.127.11,443,true,SIN,Asia Pacific,Singapore,1092,4.83
47.245.111.192,443,true,SIN,Asia Pacific,Singapore,67,4.83
8.222.183.22,443,true,SIN,Asia Pacific,Singapore,67,4.82
8.219.255.165,443,true,SIN,Asia Pacific,Singapore,72,4.81
47.245.127.241,443,true,SIN,Asia Pacific,Singapore,67,4.79
8.219.231.62,443,true,SIN,Asia Pacific,Singapore,70,4.79
168.138.178.83,443,true,SIN,Asia Pacific,Singapore,67,4.77
8.219.212.96,443,true,SIN,Asia Pacific,Singapore,69,4.75
47.236.99.132,443,true,NRT,Asia Pacific,Tokyo,64,4.75
8.222.137.2,443,true,SIN,Asia Pacific,Singapore,66,4.73
146.56.175.185,443,true,ICN,Asia Pacific,Seoul,67,4.72
47.245.124.163,443,true,SIN,Asia Pacific,Singapore,64,4.71
47.245.109.104,443,true,SIN,Asia Pacific,Singapore,72,4.69
47.236.107.33,443,true,SIN,Asia Pacific,Singapore,67,4.69
8.222.185.7,443,true,SIN,Asia Pacific,Singapore,62,4.69
47.236.3.218,443,true,SIN,Asia Pacific,Singapore,66,4.67
47.245.111.143,443,true,SIN,Asia Pacific,Singapore,71,4.60
8.219.161.216,443,true,SIN,Asia Pacific,Singapore,66,4.60
8.219.193.119,443,true,SIN,Asia Pacific,Singapore,66,4.55
8.219.173.68,443,true,SIN,Asia Pacific,Singapore,68,4.54
138.2.66.92,443,true,SIN,Asia Pacific,Singapore,200,4.50
8.219.197.156,443,true,SIN,Asia Pacific,Singapore,72,4.45
47.236.128.130,443,true,SIN,Asia Pacific,Singapore,65,4.45
8.219.219.204,443,true,SIN,Asia Pacific,Singapore,64,4.44
8.219.139.35,443,true,SIN,Asia Pacific,Singapore,66,4.44
131.186.21.236,443,true,ICN,Asia Pacific,Seoul,68,4.43
8.222.129.118,443,true,SIN,Asia Pacific,Singapore,70,4.43
8.222.128.248,443,true,SIN,Asia Pacific,Singapore,63,4.42
8.219.192.235,443,true,SIN,Asia Pacific,Singapore,69,4.42
8.219.176.8,443,true,SIN,Asia Pacific,Singapore,67,4.41
23.106.140.129,443,true,KIX,Asia Pacific,Osaka,47,4.39
217.142.128.252,443,true,ICN,Asia Pacific,Seoul,68,4.38
8.219.246.105,443,true,SIN,Asia Pacific,Singapore,67,4.32
8.219.228.66,443,true,SIN,Asia Pacific,Singapore,65,4.31
8.219.136.158,443,true,SIN,Asia Pacific,Singapore,70,4.29
8.222.138.169,443,true,SIN,Asia Pacific,Singapore,66,4.27
8.219.138.76,443,true,SIN,Asia Pacific,Singapore,71,4.24
146.56.164.234,443,true,ICN,Asia Pacific,Seoul,66,4.23
8.222.169.249,443,true,SIN,Asia Pacific,Singapore,65,4.17
23.106.140.97,443,true,KIX,Asia Pacific,Osaka,40,4.16
157.254.252.198,443,true,NRT,Asia Pacific,Tokyo,39,4.15
8.222.184.184,443,true,SIN,Asia Pacific,Singapore,68,4.15
8.222.154.196,443,true,SIN,Asia Pacific,Singapore,62,4.15
38.47.96.30,443,true,KIX,Asia Pacific,Osaka,84,4.13
152.70.90.168,443,true,ICN,Asia Pacific,Seoul,67,4.12
8.222.182.118,443,true,SIN,Asia Pacific,Singapore,67,4.12
8.219.131.103,443,true,SIN,Asia Pacific,Singapore,69,4.11
47.245.118.150,443,true,SIN,Asia Pacific,Singapore,64,4.07
8.219.140.54,443,true,SIN,Asia Pacific,Singapore,66,4.05
8.219.162.108,443,true,SIN,Asia Pacific,Singapore,66,4.03
8.219.228.58,443,true,SIN,Asia Pacific,Singapore,77,3.99
47.236.102.169,443,true,SIN,Asia Pacific,Singapore,74,3.98
8.222.157.205,443,true,SIN,Asia Pacific,Singapore,70,3.97
193.122.107.147,443,true,ICN,Asia Pacific,Seoul,65,3.97
8.222.171.126,443,true,SIN,Asia Pacific,Singapore,73,3.96
8.219.140.227,443,true,SIN,Asia Pacific,Singapore,63,3.89
47.245.119.164,443,true,NRT,Asia Pacific,Tokyo,64,3.87
132.226.228.179,443,true,ICN,Asia Pacific,Seoul,65,3.83
8.222.191.118,443,true,SIN,Asia Pacific,Singapore,66,3.78
8.219.134.42,443,true,SIN,Asia Pacific,Singapore,66,3.71
8.219.178.234,443,true,SIN,Asia Pacific,Singapore,74,3.71
193.123.244.115,443,true,ICN,Asia Pacific,Seoul,64,3.70
8.219.254.70,443,true,SIN,Asia Pacific,Singapore,66,3.63
8.219.146.191,443,true,SIN,Asia Pacific,Singapore,61,3.61
8.222.152.245,443,true,SIN,Asia Pacific,Singapore,81,3.53
8.219.197.251,443,true,SIN,Asia Pacific,Singapore,65,3.50
8.219.137.217,443,true,SIN,Asia Pacific,Singapore,59,3.26
8.219.137.112,443,true,SIN,Asia Pacific,Singapore,73,3.22
8.222.176.204,443,true,SIN,Asia Pacific,Singapore,69,3.10
203.9.150.104,443,true,HKG,Asia Pacific,Hong Kong,114,2.93
47.239.14.220,443,true,HKG,Asia Pacific,Hong Kong,29,2.87
8.222.133.167,443,true,SIN,Asia Pacific,Singapore,59,2.62
168.138.165.174,443,true,SIN,Asia Pacific,Singapore,68,2.44
130.162.130.200,443,true,ICN,Asia Pacific,Seoul,65,2.41
132.226.234.64,443,true,ICN,Asia Pacific,Seoul,67,2.18
